20230601 013600;1.356970;1.357030;1.356890;1.357030;0
20230601 013700;1.357030;1.357030;1.356900;1.356900;0
20230601 013800;1.356890;1.356890;1.356740;1.356790;0
20230601 013900;1.356790;1.356940;1.356790;1.356810;0
20230601 014000;1.356820;1.356850;1.356780;1.356820;0
20230601 014100;1.356840;1.356900;1.356840;1.356870;0
20230601 014200;1.356860;1.356860;1.356730;1.356860;0
20230601 014300;1.356860;1.357020;1.356840;1.357020;0
20230601 014400;1.357040;1.357120;1.357000;1.357120;0
20230601 014500;1.357140;1.357170;1.357040;1.357060;0
20230601 014600;1.357090;1.357170;1.357040;1.357120;0
20230601 014700;1.357110;1.357110;1.356910;1.356910;0
20230601 014800;1.356880;1.357010;1.356820;1.357010;0
20230601 014900;1.357020;1.357130;1.357020;1.357120;0
20230601 015000;1.357130;1.357160;1.357070;1.357100;0
20230601 015100;1.357070;1.357170;1.357060;1.357130;0
20230601 015200;1.357080;1.357150;1.357050;1.357150;0
20230601 015300;1.357160;1.357170;1.357070;1.357150;0
20230601 015400;1.357130;1.357150;1.357030;1.357060;0
20230601 015500;1.357060;1.357180;1.357000;1.357160;0
20230601 015600;1.357170;1.357310;1.357130;1.357230;0
20230601 015700;1.357240;1.357340;1.357230;1.357330;0
20230601 015800;1.357330;1.357420;1.357330;1.357420;0
20230601 015900;1.357400;1.357400;1.357320;1.357320;0
20230601 020000;1.357310;1.357410;1.357210;1.357410;0
20230601 020100;1.357410;1.357510;1.357410;1.357420;0
20230601 020200;1.357430;1.357500;1.357360;1.357380;0
20230601 020300;1.357360;1.357360;1.357190;1.357320;0
20230601 020400;1.357310;1.357310;1.357160;1.357220;0
20230601 020500;1.357230;1.357340;1.357200;1.357230;0
20230601 020600;1.357250;1.357300;1.357120;1.357120;0
20230601 020700;1.357110;1.357220;1.357000;1.357150;0
20230601 020800;1.357140;1.357290;1.357130;1.357180;0
20230601 020900;1.357180;1.357180;1.357050;1.357120;0
20230601 021000;1.357130;1.357200;1.357000;1.357060;0
20230601 021100;1.357070;1.357100;1.357000;1.357050;0
20230601 021200;1.357040;1.357110;1.357030;1.357110;0
20230601 021300;1.357100;1.357280;1.357060;1.357230;0
20230601 021400;1.357230;1.357230;1.357110;1.357140;0
20230601 021500;1.357140;1.357320;1.357100;1.357310;0
20230601 021600;1.357320;1.357370;1.357220;1.357370;0
20230601 021700;1.357370;1.357400;1.357150;1.357200;0
20230601 021800;1.357210;1.357230;1.357060;1.357090;0
20230601 021900;1.357070;1.357210;1.357060;1.357210;0
20230601 022000;1.357220;1.357240;1.357150;1.357200;0
20230601 022100;1.357220;1.357410;1.357210;1.357380;0
20230601 022200;1.357380;1.357540;1.357380;1.357420;0
20230601 022300;1.357420;1.357530;1.357400;1.357450;0
20230601 022400;1.357470;1.357510;1.357420;1.357480;0
20230601 022500;1.357490;1.357510;1.357380;1.357410;0
20230601 022600;1.357390;1.357430;1.357390;1.357410;0
20230601 022700;1.357380;1.357400;1.357110;1.357170;0
20230601 022800;1.357150;1.357250;1.357050;1.357250;0
20230601 022900;1.357260;1.357270;1.357080;1.357240;0
20230601 023000;1.357240;1.357290;1.357150;1.357190;0
20230601 023100;1.357180;1.357270;1.356720;1.356730;0
20230601 023200;1.356740;1.356740;1.356520;1.356650;0
20230601 023300;1.356700;1.356770;1.356670;1.356730;0
20230601 023400;1.356730;1.356920;1.356730;1.356900;0
20230601 023500;1.356900;1.356920;1.356810;1.356820;0
20230601 023600;1.356830;1.356840;1.356640;1.356640;0
20230601 023700;1.356640;1.356830;1.356630;1.356830;0
20230601 023800;1.356820;1.356860;1.356640;1.356710;0
20230601 023900;1.356700;1.356730;1.356650;1.356670;0
20230601 024000;1.356670;1.356820;1.356670;1.356760;0
20230601 024100;1.356770;1.356870;1.356740;1.356750;0
20230601 024200;1.356750;1.356860;1.356650;1.356840;0
20230601 024300;1.356870;1.356930;1.356730;1.356740;0
20230601 024400;1.356740;1.356770;1.356690;1.356760;0
20230601 024500;1.356750;1.356950;1.356710;1.356920;0
20230601 024600;1.356900;1.356920;1.356770;1.356830;0
20230601 024700;1.356810;1.356950;1.356800;1.356810;0
20230601 024800;1.356830;1.356830;1.356680;1.356700;0
20230601 024900;1.356710;1.356820;1.356690;1.356820;0
20230601 025000;1.356850;1.356990;1.356830;1.356990;0
20230601 025100;1.356980;1.356980;1.356740;1.356740;0
20230601 025200;1.356750;1.356960;1.356750;1.356900;0
20230601 025300;1.356890;1.356910;1.356750;1.356820;0
